"Date","Price","Open","High","Low","Vol.","Change %"
"May 10, 2022","2,876.00","2,890.50","2,890.50","2,833.80","31.16M","-0.25%"
"May 09, 2022","2,883.20","2,936.20","2,936.20","2,876.40","33.05M","-1.73%"
"May 06, 2022","2,933.90","2,999.90","2,999.90","2,931.30","32.53M","-2.20%"
"May 05, 2022","2,999.90","2,972.70","3,002.70","2,972.70","33.36M","0.91%"
"May 04, 2022","2,972.70","3,004.20","3,004.20","2,968.10","33.58M","-1.05%"
"May 03, 2022","3,004.20","3,013.90","3,034.90","3,002.80","42.06M","-0.32%"
"May 02, 2022","3,013.90","3,055.60","3,055.60","3,000.80","34.15M","-1.09%"
"Apr 29, 2022","3,047.10","3,011.70","3,052.40","3,011.70","26.93M","1.18%"
"Apr 28, 2022","3,011.70","2,989.00","3,018.10","2,989.00","34.33M","0.76%"
"Apr 27, 2022","2,989.00","3,022.60","3,022.60","2,974.10","36.52M","-1.11%"
"Apr 26, 2022","3,022.60","3,045.30","3,045.30","3,005.70","32.91M","-0.75%"
"Apr 22, 2022","3,045.30","3,064.30","3,064.30","3,022.40","39.44M","-0.62%"
"Apr 21, 2022","3,064.30","3,052.80","3,075.30","3,049.80","35.11M","0.38%"
"Apr 20, 2022","3,052.80","3,018.70","3,077.70","3,018.70","30.86M","1.13%"
"Apr 19, 2022","3,018.70","3,018.10","3,036.70","3,017.20","25.63M","0.02%"
"Apr 14, 2022","3,018.10","2,992.90","3,021.10","2,992.90","33.33M","0.84%"
"Apr 13, 2022","2,992.90","2,977.40","3,000.50","2,977.40","28.08M","0.52%"
"Apr 12, 2022","2,977.40","3,000.00","3,000.00","2,969.30","23.56M","-0.75%"
"Apr 11, 2022","3,000.00","3,022.00","3,022.00","2,991.00","24.08M","-0.73%"
"Apr 08, 2022","3,022.00","3,022.40","3,034.50","3,013.40","30.08M","-0.01%"
"Apr 07, 2022","3,022.40","3,072.00","3,072.00","3,016.50","37.03M","-1.61%"
"Apr 06, 2022","3,072.00","3,098.90","3,098.90","3,055.90","37.46M","-0.87%"
"Apr 05, 2022","3,098.90","3,084.90","3,137.50","3,084.90","43.38M","0.45%"
"Apr 04, 2022","3,084.90","3,111.80","3,114.10","3,084.90","28.09M","-0.86%"
"Apr 01, 2022","3,111.80","3,155.70","3,155.70","3,104.70","32.61M","-1.39%"
"Mar 31, 2022","3,155.70","3,197.30","3,197.30","3,155.70","45.44M","-1.30%"
"Mar 30, 2022","3,197.30","3,157.90","3,209.10","3,157.90","53.13M","1.25%"
"Mar 29, 2022","3,157.90","3,092.20","3,168.90","3,092.20","32.49M","2.12%"
"Mar 28, 2022","3,092.20","3,129.70","3,130.60","3,092.20","27.00M","-1.20%"
"Mar 25, 2022","3,129.70","3,117.30","3,142.40","3,117.30","27.25M","0.40%"
"Mar 24, 2022","3,117.30","3,125.10","3,127.10","3,106.30","27.68M","-0.25%"
"Mar 23, 2022","3,125.10","3,105.40","3,137.00","3,105.40","24.24M","0.63%"
"Mar 22, 2022","3,105.40","3,114.70","3,135.40","3,105.40","24.76M","-0.30%"
"Mar 21, 2022","3,114.70","3,113.30","3,163.50","3,113.30","23.41M","0.04%"
"Mar 18, 2022","3,113.30","3,138.90","3,139.90","3,103.00","88.53M","-0.82%"
"Mar 17, 2022","3,138.90","3,109.50","3,170.60","3,109.50","39.40M","0.95%"
"Mar 16, 2022","3,109.50","3,048.80","3,109.50","3,048.80","29.28M","1.99%"
"Mar 15, 2022","3,048.80","3,055.80","3,065.10","3,038.50","32.24M","-0.23%"
"Mar 14, 2022","3,055.80","3,011.50","3,055.80","3,011.50","23.09M","1.47%"
"Mar 11, 2022","3,011.50","3,090.50","3,090.50","3,005.80","37.16M","-2.56%"
"Mar 10, 2022","3,090.50","3,004.80","3,123.10","3,004.80","37.53M","2.85%"
"Mar 09, 2022","3,004.80","2,951.00","3,022.00","2,951.00","36.26M","1.82%"
"Mar 08, 2022","2,951.00","2,949.50","2,979.90","2,939.60","37.07M","0.05%"
"Mar 07, 2022","2,949.50","3,025.60","3,025.60","2,936.20","46.03M","-2.52%"
"Mar 04, 2022","3,025.60","3,059.00","3,059.00","3,000.70","43.90M","-1.09%"
"Mar 03, 2022","3,059.00","3,047.40","3,093.50","3,044.40","39.77M","0.38%"
"Mar 02, 2022","3,047.40","3,078.40","3,078.40","2,988.10","44.53M","-1.01%"
"Mar 01, 2022","3,078.40","3,034.70","3,092.90","3,034.70","40.06M","1.44%"
"Feb 28, 2022","3,034.70","3,032.40","3,061.90","3,017.80","38.30M","0.08%"
"Feb 25, 2022","3,032.40","3,003.80","3,063.30","3,003.80","48.36M","0.95%"
"Feb 24, 2022","3,003.80","3,117.80","3,117.80","2,997.50","47.40M","-3.66%"
"Feb 23, 2022","3,117.80","3,113.10","3,117.80","3,077.70","31.56M","0.15%"
"Feb 22, 2022","3,113.10","3,198.40","3,198.40","3,096.30","42.38M","-2.67%"
"Feb 21, 2022","3,198.40","3,228.90","3,228.90","3,169.70","36.61M","-0.94%"
"Feb 18, 2022","3,228.90","3,256.10","3,262.10","3,219.80","34.86M","-0.84%"
"Feb 17, 2022","3,256.10","3,369.80","3,369.80","3,256.10","51.57M","-3.37%"
"Feb 16, 2022","3,369.80","3,319.50","3,376.20","3,319.50","37.38M","1.52%"
"Feb 15, 2022","3,319.50","3,302.30","3,331.50","3,269.30","48.23M","0.52%"
"Feb 14, 2022","3,302.30","3,285.50","3,311.30","3,262.40","46.29M","0.51%"
"Feb 11, 2022","3,285.50","3,341.00","3,341.00","3,271.90","31.48M","-1.66%"
"Feb 10, 2022","3,341.00","3,341.80","3,364.30","3,326.50","41.07M","-0.02%"
"Feb 09, 2022","3,341.80","3,315.40","3,342.50","3,280.10","47.86M","0.80%"
"Feb 08, 2022","3,315.40","3,295.40","3,341.10","3,280.80","46.36M","0.61%"
"Feb 07, 2022","3,295.40","3,298.30","3,304.50","3,268.80","31.67M","-0.09%"
"Feb 04, 2022","3,298.30","3,272.40","3,299.00","3,246.70","26.78M","0.79%"
"Feb 03, 2022","3,272.40","3,291.90","3,291.90","3,241.80","22.97M","-0.59%"
"Feb 02, 2022","3,291.90","3,255.70","3,303.00","3,253.20","24.15M","1.11%"
"Feb 01, 2022","3,255.70","3,221.90","3,275.30","3,221.90","25.18M","1.05%"
"Jan 31, 2022","3,221.90","3,182.20","3,235.70","3,178.60","27.39M","1.25%"
"Jan 28, 2022","3,182.20","3,081.50","3,199.70","3,081.50","82.44M","3.27%"
"Jan 27, 2022","3,081.50","3,200.00","3,222.80","3,042.50","48.49M","-3.70%"
"Jan 25, 2022","3,200.00","3,241.90","3,256.70","3,165.80","39.24M","-1.29%"
"Jan 24, 2022","3,241.90","3,255.20","3,268.00","3,217.90","27.52M","-0.41%"
"Jan 21, 2022","3,255.20","3,343.70","3,343.70","3,247.90","35.42M","-2.65%"
"Jan 20, 2022","3,343.70","3,373.30","3,373.30","3,325.50","25.36M","-0.88%"
"Jan 19, 2022","3,373.30","3,398.50","3,405.90","3,361.40","26.20M","-0.74%"
"Jan 18, 2022","3,398.50","3,406.90","3,445.20","3,398.50","22.99M","-0.25%"
"Jan 17, 2022","3,406.90","3,333.80","3,416.20","3,331.80","21.90M","2.19%"
"Jan 14, 2022","3,333.80","3,391.60","3,391.60","3,333.80","27.71M","-1.70%"
"Jan 13, 2022","3,391.60","3,431.30","3,433.40","3,388.10","20.73M","-1.16%"
"Jan 12, 2022","3,431.30","3,416.50","3,445.60","3,416.50","18.85M","0.43%"
"Jan 11, 2022","3,416.50","3,447.60","3,450.50","3,408.90","19.91M","-0.90%"
"Jan 10, 2022","3,447.60","3,492.00","3,492.00","3,433.80","17.28M","-1.27%"
