"Date","Price","Open","High","Low","Vol.","Change %"
"May 10, 2022","13,410.80","13,647.60","13,661.90","13,345.80","12.51M","-1.51%"
"May 09, 2022","13,616.00","13,620.80","13,694.50","13,568.00","18.73M","-0.21%"
"May 06, 2022","13,644.20","13,644.60","13,655.70","13,463.30","15.91M","0.00%"
"May 05, 2022","13,644.20","13,611.10","13,659.20","13,569.20","17.52M","0.23%"
"May 04, 2022","13,613.00","13,684.40","13,721.40","13,594.30","21.02M","-0.72%"
"May 03, 2022","13,711.40","13,688.40","13,759.40","13,583.50","19.38M","0.17%"
"May 02, 2022","13,688.40","13,790.80","13,790.80","13,635.50","23.63M","-0.74%"
"Apr 29, 2022","13,790.80","13,619.70","13,823.70","13,619.70","26.20M","1.26%"
"Apr 28, 2022","13,619.70","13,560.40","13,647.60","13,472.10","18.20M","0.44%"
"Apr 27, 2022","13,560.40","13,818.40","13,818.40","13,525.20","28.33M","-1.87%"
"Apr 26, 2022","13,818.40","13,923.40","13,934.70","13,759.40","29.74M","-0.75%"
"Apr 22, 2022","13,923.40","13,922.80","13,942.30","13,875.50","26.37M","0.00%"
"Apr 21, 2022","13,922.80","13,880.20","13,959.40","13,844.90","26.06M","0.31%"
"Apr 20, 2022","13,880.20","13,716.00","13,880.20","13,714.40","27.05M","1.20%"
"Apr 19, 2022","13,716.00","13,688.10","13,743.00","13,617.00","20.62M","0.20%"
"Apr 14, 2022","13,688.10","13,620.80","13,695.30","13,589.40","23.83M","0.49%"
"Apr 13, 2022","13,620.80","13,589.00","13,661.50","13,565.90","21.99M","0.23%"
"Apr 12, 2022","13,589.00","13,647.40","13,666.10","13,539.30","26.58M","-0.43%"
"Apr 11, 2022","13,647.40","13,563.90","13,655.70","13,557.40","30.24M","0.62%"
"Apr 08, 2022","13,563.90","13,474.40","13,597.10","13,474.40","20.88M","0.66%"
"Apr 07, 2022","13,474.40","13,400.20","13,520.50","13,400.10","20.79M","0.55%"
"Apr 06, 2022","13,400.20","13,385.40","13,454.70","13,334.80","22.26M","0.11%"
"Apr 05, 2022","13,385.40","13,308.30","13,476.80","13,306.40","20.66M","0.58%"
"Apr 04, 2022","13,308.30","13,335.00","13,364.60","13,283.20","17.27M","-0.20%"
"Apr 01, 2022","13,335.00","13,351.30","13,388.20","13,276.30","19.28M","-0.12%"
"Mar 31, 2022","13,351.30","13,360.90","13,418.30","13,315.10","27.72M","-0.07%"
"Mar 30, 2022","13,360.90","13,337.10","13,470.40","13,335.60","25.37M","0.18%"
"Mar 29, 2022","13,337.10","13,213.50","13,404.20","13,213.50","19.08M","0.94%"
"Mar 28, 2022","13,213.50","13,186.40","13,305.30","13,181.20","20.48M","0.21%"
"Mar 25, 2022","13,186.40","13,201.70","13,250.90","13,164.20","26.17M","-0.12%"
"Mar 24, 2022","13,201.70","13,124.40","13,246.50","13,106.50","18.56M","0.59%"
"Mar 23, 2022","13,124.40","13,080.30","13,197.60","13,080.30","16.55M","0.34%"
"Mar 22, 2022","13,080.30","13,069.00","13,161.10","13,067.60","19.65M","0.09%"
"Mar 21, 2022","13,069.00","13,126.00","13,204.40","13,032.30","18.14M","-0.43%"
"Mar 18, 2022","13,126.00","13,173.60","13,175.80","13,064.40","42.27M","-0.36%"
"Mar 17, 2022","13,173.60","13,202.00","13,238.20","13,104.30","30.94M","-0.22%"
"Mar 16, 2022","13,202.00","12,947.10","13,211.40","12,947.10","35.33M","1.97%"
"Mar 15, 2022","12,947.10","12,964.70","13,045.90","12,933.90","33.83M","-0.14%"
"Mar 14, 2022","12,964.70","12,750.00","13,000.60","12,750.00","27.56M","1.68%"
"Mar 11, 2022","12,750.00","12,901.50","12,940.90","12,677.90","30.57M","-1.17%"
"Mar 10, 2022","12,901.50","12,870.10","12,949.60","12,842.30","32.11M","0.24%"
"Mar 09, 2022","12,870.10","12,867.30","12,916.60","12,800.70","28.68M","0.02%"
"Mar 08, 2022","12,867.30","12,653.90","12,929.60","12,648.70","34.04M","1.69%"
"Mar 07, 2022","12,653.90","12,714.50","12,804.90","12,601.50","31.35M","-0.48%"
"Mar 04, 2022","12,714.50","12,567.60","12,714.50","12,514.70","33.07M","1.17%"
"Mar 03, 2022","12,567.60","12,857.70","12,870.00","12,567.60","29.23M","-2.26%"
"Mar 02, 2022","12,857.70","12,895.50","12,924.60","12,624.40","30.51M","-0.29%"
"Mar 01, 2022","12,895.50","12,926.90","13,025.20","12,889.40","28.84M","-0.24%"
"Feb 28, 2022","12,926.90","12,926.20","12,995.10","12,780.50","39.30M","0.01%"
"Feb 25, 2022","12,926.20","13,035.40","13,068.50","12,853.50","30.10M","-0.84%"
"Feb 24, 2022","13,035.40","13,172.30","13,323.20","13,004.30","43.25M","-1.04%"
"Feb 23, 2022","13,172.30","13,027.90","13,323.30","13,026.40","37.25M","1.11%"
"Feb 22, 2022","13,027.90","12,795.60","13,060.50","12,775.50","46.07M","1.82%"
"Feb 21, 2022","12,795.60","12,502.80","12,830.40","12,502.80","40.97M","2.34%"
"Feb 18, 2022","12,502.80","12,618.50","12,618.50","12,502.80","27.84M","-0.92%"
"Feb 17, 2022","12,618.50","12,579.30","12,698.80","12,579.30","25.02M","0.31%"
"Feb 16, 2022","12,579.30","12,366.00","12,590.90","12,366.00","23.87M","1.72%"
"Feb 15, 2022","12,366.00","12,273.40","12,399.50","12,159.40","24.28M","0.75%"
"Feb 14, 2022","12,273.40","12,231.30","12,313.30","12,146.20","18.67M","0.34%"
"Feb 11, 2022","12,231.30","12,408.00","12,408.00","12,176.90","23.89M","-1.42%"
"Feb 10, 2022","12,408.00","12,507.00","12,546.70","12,389.20","23.71M","-0.79%"
"Feb 09, 2022","12,507.00","12,326.10","12,507.00","12,299.30","26.75M","1.47%"
"Feb 08, 2022","12,326.10","12,425.00","12,425.00","12,302.70","26.38M","-0.80%"
"Feb 07, 2022","12,425.00","12,522.90","12,558.30","12,419.20","21.38M","-0.78%"
"Feb 04, 2022","12,522.90","12,440.40","12,522.90","12,405.50","22.21M","0.66%"
"Feb 03, 2022","12,440.40","12,447.50","12,462.90","12,369.80","19.45M","-0.06%"
"Feb 02, 2022","12,447.50","12,352.20","12,488.00","12,322.70","21.63M","0.77%"
"Feb 01, 2022","12,352.20","12,245.40","12,423.50","12,241.50","22.02M","0.87%"
"Jan 31, 2022","12,245.40","12,402.80","12,413.10","12,245.40","26.24M","-1.27%"
"Jan 28, 2022","12,402.80","12,011.60","12,425.70","12,011.60","79.05M","3.26%"
"Jan 27, 2022","12,011.60","12,315.60","12,345.30","11,930.10","39.70M","-2.47%"
"Jan 25, 2022","12,315.60","12,451.90","12,481.60","12,225.80","42.16M","-1.09%"
"Jan 24, 2022","12,451.90","12,407.30","12,526.10","12,391.70","23.39M","0.36%"
"Jan 21, 2022","12,407.30","12,539.50","12,539.50","12,395.60","31.48M","-1.05%"
"Jan 20, 2022","12,539.50","12,654.40","12,654.40","12,502.80","22.54M","-0.91%"
"Jan 19, 2022","12,654.40","12,670.00","12,751.50","12,587.80","21.40M","-0.12%"
"Jan 18, 2022","12,670.00","12,691.80","12,748.30","12,668.90","17.10M","-0.17%"
"Jan 17, 2022","12,691.80","12,582.40","12,733.90","12,535.90","18.18M","0.87%"
"Jan 14, 2022","12,582.40","12,826.90","12,826.90","12,582.40","24.19M","-1.91%"
"Jan 13, 2022","12,826.90","12,859.30","12,864.00","12,778.70","24.01M","-0.25%"
"Jan 12, 2022","12,859.30","12,935.90","12,970.10","12,827.50","25.61M","-0.59%"
"Jan 11, 2022","12,935.90","13,217.10","13,217.10","12,934.90","25.90M","-2.13%"
"Jan 10, 2022","13,217.10","13,319.70","13,320.30","13,186.30","14.76M","-0.77%"
"Jan 07, 2022","13,319.70","13,286.60","13,438.50","13,286.60","14.45M","0.25%"
"Jan 06, 2022","13,286.60","13,515.90","13,562.50","13,267.80","20.41M","-1.70%"
"Jan 05, 2022","13,515.90","13,656.30","13,681.60","13,506.20","18.83M","-1.03%"
"Jan 04, 2022","13,656.30","13,543.90","13,698.80","13,543.90","18.54M","0.83%"
"Dec 31, 2021","13,543.90","13,678.50","13,679.40","13,543.90","12.00M","-0.98%"
"Dec 30, 2021","13,678.50","13,660.00","13,706.00","13,627.30","10.53M","0.14%"
"Dec 29, 2021","13,660.00","13,396.80","13,689.40","13,396.80","14.48M","1.96%"
"Dec 24, 2021","13,396.80","13,421.10","13,491.10","13,396.80","8.29M","-0.18%"
"Dec 23, 2021","13,421.10","13,461.10","13,496.00","13,393.60","20.23M","-0.30%"
"Dec 22, 2021","13,461.10","13,486.70","13,486.70","13,395.20","17.91M","-0.19%"
"Dec 21, 2021","13,486.70","13,464.40","13,569.40","13,459.20","17.62M","0.17%"
"Dec 20, 2021","13,464.40","13,369.40","13,512.80","13,343.30","20.32M","0.71%"
"Dec 17, 2021","13,369.40","13,291.60","13,437.30","13,291.60","52.73M","0.59%"
"Dec 16, 2021","13,291.60","13,285.00","13,321.40","13,210.10","35.47M","0.05%"
"Dec 15, 2021","13,285.00","13,298.20","13,353.70","13,213.00","25.88M","-0.10%"
"Dec 14, 2021","13,298.20","13,847.10","13,847.10","13,028.60","43.80M","-3.96%"
"Dec 13, 2021","13,847.10","13,860.80","13,938.70","13,832.30","16.38M","-0.10%"
"Dec 10, 2021","13,860.80","13,858.30","13,925.60","13,814.60","21.80M","0.02%"
"Dec 09, 2021","13,858.30","13,903.00","13,952.10","13,822.50","21.44M","-0.32%"
"Dec 08, 2021","13,903.00","13,799.60","13,965.60","13,777.90","30.63M","0.75%"
"Dec 07, 2021","13,799.60","13,711.40","13,892.50","13,711.40","28.11M","0.64%"
"Dec 06, 2021","13,711.40","13,454.30","13,751.90","13,450.40","40.79M","1.91%"
