"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2015","8,009.88","8,080.00","8,085.60","7,981.40","18.81M","-0.87%"
"Dec 30, 2015","8,079.95","7,969.40","8,125.40","7,969.40","28.14M","1.39%"
"Dec 29, 2015","7,969.35","7,963.90","7,993.20","7,827.20","34.32M","0.52%"
"Dec 28, 2015","7,928.40","7,961.60","7,962.60","7,827.20","6.34M","-0.45%"
"Dec 24, 2015","7,963.86","7,728.20","7,992.30","7,728.20","34.48M","3.05%"
"Dec 23, 2015","7,728.15","7,614.20","7,735.10","7,614.20","39.51M","1.50%"
"Dec 22, 2015","7,614.22","7,559.20","7,705.20","7,559.20","44.23M","0.73%"
"Dec 21, 2015","7,559.23","7,481.70","7,577.90","7,424.80","51.38M","0.63%"
"Dec 20, 2015","7,511.80","7,462.70","7,577.90","7,424.80","9.37M","0.40%"
"Dec 18, 2015","7,481.69","7,520.10","7,570.60","7,394.20","120.74M","-0.51%"
"Dec 17, 2015","7,520.10","7,505.60","7,631.40","7,483.60","89.18M","0.19%"
"Dec 16, 2015","7,505.64","7,257.70","7,550.50","7,257.70","94.51M","3.42%"
"Dec 15, 2015","7,257.70","7,300.50","7,387.50","7,241.40","70.85M","-0.59%"
"Dec 14, 2015","7,300.47","7,547.40","7,547.40","7,278.10","89.96M","-0.08%"
"Dec 13, 2015","7,306.50","7,536.90","7,536.90","7,301.10","16.55M","-3.19%"
"Dec 11, 2015","7,547.42","7,591.50","7,645.90","7,506.40","53.48M","-0.58%"
"Dec 10, 2015","7,591.47","7,625.20","7,695.60","7,516.60","66.81M","-0.44%"
"Dec 09, 2015","7,625.24","7,598.50","7,701.80","7,575.50","85.75M","0.35%"
"Dec 08, 2015","7,598.50","8,113.90","8,113.90","7,554.70","124.88M","-6.35%"
"Dec 07, 2015","8,113.93","8,500.70","8,556.50","8,111.50","72.61M","-3.22%"
"Dec 06, 2015","8,384.20","8,516.30","8,556.50","8,382.60","9.03M","-1.37%"
"Dec 04, 2015","8,500.71","8,559.90","8,560.20","8,399.90","58.65M","-0.69%"
"Dec 03, 2015","8,559.94","8,753.60","8,753.60","8,483.50","66.17M","-2.21%"
"Dec 02, 2015","8,753.59","8,787.60","8,793.40","8,724.60","28.47M","-0.39%"
"Dec 01, 2015","8,787.63","8,658.60","8,832.50","8,610.70","76.42M","1.49%"
"Nov 30, 2015","8,658.60","8,683.60","8,703.40","8,569.20","262.50M","0.17%"
"Nov 29, 2015","8,643.70","8,684.10","8,703.40","8,624.60","8.62M","-0.46%"
"Nov 27, 2015","8,683.62","8,590.10","8,744.90","8,590.10","46.02M","1.09%"
"Nov 26, 2015","8,590.15","8,630.60","8,704.10","8,590.10","48.67M","-0.47%"
"Nov 25, 2015","8,630.59","8,550.90","8,717.40","8,546.10","56.04M","0.93%"
"Nov 24, 2015","8,550.91","8,587.40","8,619.90","8,545.40","56.20M","-0.42%"
"Nov 23, 2015","8,587.39","8,624.70","8,624.70","8,530.50","81.24M","0.17%"
"Nov 22, 2015","8,572.60","8,620.10","8,620.50","8,530.50","14.16M","-0.60%"
"Nov 20, 2015","8,624.67","8,721.00","8,721.00","8,600.60","80.07M","-1.10%"
"Nov 19, 2015","8,720.97","8,556.20","8,721.00","8,556.20","59.67M","1.93%"
"Nov 18, 2015","8,556.17","8,525.80","8,581.10","8,380.00","57.74M","0.36%"
"Nov 17, 2015","8,525.83","8,220.20","8,525.83","8,220.20","62.96M","3.72%"
"Nov 16, 2015","8,220.20","8,090.60","8,249.40","7,936.10","69.29M","1.43%"
"Nov 15, 2015","8,104.30","8,058.80","8,112.10","7,936.10","16.71M","0.17%"
"Nov 13, 2015","8,090.59","8,379.50","8,379.50","8,029.10","88.27M","-3.45%"
"Nov 12, 2015","8,379.45","8,658.10","8,658.10","8,275.90","89.63M","-3.22%"
"Nov 11, 2015","8,658.12","8,619.60","8,658.12","8,583.70","43.13M","0.45%"
"Nov 10, 2015","8,619.64","8,614.10","8,619.64","8,506.70","56.22M","0.06%"
"Nov 09, 2015","8,614.10","8,836.60","8,836.60","8,536.70","41.96M","-0.69%"
"Nov 08, 2015","8,674.10","8,826.40","8,826.50","8,646.30","6.96M","-1.84%"
"Nov 06, 2015","8,836.56","8,942.80","8,943.90","8,673.90","48.67M","-1.19%"
"Nov 05, 2015","8,942.82","8,945.60","8,951.50","8,832.80","46.60M","-0.03%"
"Nov 04, 2015","8,945.60","8,941.20","9,103.10","8,935.70","58.54M","0.05%"
"Nov 03, 2015","8,941.24","8,716.40","8,941.24","8,716.40","38.23M","2.58%"
"Nov 02, 2015","8,716.43","8,759.20","8,820.50","8,647.00","32.84M","-0.60%"
"Nov 01, 2015","8,769.10","8,760.60","8,820.50","8,742.80","5.14M","0.11%"
"Oct 30, 2015","8,759.15","8,683.60","8,850.40","8,664.70","76.10M","0.87%"
"Oct 29, 2015","8,683.64","8,795.50","8,981.60","8,678.70","66.42M","-1.27%"
"Oct 28, 2015","8,795.45","8,908.60","8,912.60","8,791.10","46.73M","-1.27%"
"Oct 27, 2015","8,908.57","9,118.10","9,122.40","8,895.00","68.88M","-2.30%"
"Oct 26, 2015","9,118.15","9,136.30","9,200.90","9,098.60","57.07M","0.02%"
"Oct 25, 2015","9,116.40","9,152.90","9,200.90","9,102.10","12.52M","-0.22%"
"Oct 23, 2015","9,136.34","9,053.20","9,251.10","9,053.20","97.31M","0.92%"
"Oct 22, 2015","9,053.22","8,780.90","9,079.60","8,762.90","73.54M","3.10%"
"Oct 21, 2015","8,780.86","8,678.50","8,818.10","8,611.00","35.95M","1.18%"
"Oct 20, 2015","8,678.51","8,970.40","8,974.50","8,666.20","46.04M","-3.25%"
"Oct 19, 2015","8,970.42","8,926.70","8,993.60","8,868.30","51.13M","0.95%"
"Oct 18, 2015","8,886.20","8,928.20","8,960.00","8,868.30","12.17M","-0.45%"
"Oct 16, 2015","8,926.66","8,845.60","8,966.90","8,845.60","61.79M","0.92%"
"Oct 15, 2015","8,845.60","8,699.80","8,905.10","8,696.40","66.05M","1.68%"
"Oct 14, 2015","8,699.76","8,992.70","9,005.50","8,656.90","67.01M","-3.26%"
"Oct 13, 2015","8,992.66","9,247.90","9,247.90","8,942.80","68.50M","-2.76%"
"Oct 12, 2015","9,247.91","9,465.50","9,488.90","9,198.30","61.12M","0.19%"
"Oct 11, 2015","9,230.50","9,465.90","9,488.90","9,224.00","13.54M","-2.48%"
"Oct 09, 2015","9,465.52","9,256.40","9,491.90","9,256.40","100.63M","2.26%"
"Oct 08, 2015","9,256.43","9,142.50","9,327.50","9,142.50","86.51M","1.25%"
"Oct 07, 2015","9,142.51","8,566.00","9,144.70","8,566.00","93.00M","6.73%"
"Oct 06, 2015","8,565.97","8,498.70","8,728.80","8,498.70","93.45M","0.79%"
"Oct 05, 2015","8,498.66","8,260.40","8,524.50","8,260.40","34.08M","0.11%"
"Oct 04, 2015","8,489.00","8,264.00","8,489.00","8,263.60","5.61M","2.77%"
"Oct 02, 2015","8,260.41","8,313.50","8,363.60","8,212.40","37.78M","-0.64%"
"Oct 01, 2015","8,313.49","8,108.60","8,321.20","8,108.60","53.82M","2.53%"
"Sep 30, 2015","8,108.62","8,041.80","8,125.90","8,030.90","82.33M","0.83%"
"Sep 29, 2015","8,041.83","8,617.00","8,617.00","8,041.80","87.51M","-6.68%"
"Sep 28, 2015","8,617.03","8,428.50","8,617.03","8,362.40","39.90M","2.24%"
"Sep 25, 2015","8,428.45","8,600.80","8,660.40","8,418.40","69.96M","-2.00%"
"Sep 24, 2015","8,600.80","8,498.40","8,614.70","8,485.40","68.85M","1.20%"
"Sep 23, 2015","8,498.45","8,687.50","8,687.50","8,470.50","72.82M","-2.18%"
"Sep 22, 2015","8,687.50","8,458.80","8,728.20","8,458.80","48.17M","2.70%"
"Sep 21, 2015","8,458.83","8,665.70","8,665.70","8,360.20","52.88M","-2.39%"
"Sep 18, 2015","8,665.73","8,802.50","8,823.50","8,631.00","116.70M","-1.55%"
"Sep 17, 2015","8,802.46","8,575.40","8,887.70","8,575.40","82.90M","2.65%"
"Sep 16, 2015","8,575.40","8,356.10","8,577.20","8,354.30","78.93M","2.62%"
"Sep 15, 2015","8,356.08","8,441.10","8,447.50","8,314.60","72.58M","-1.01%"
"Sep 14, 2015","8,441.08","8,470.50","8,508.60","8,256.10","67.73M","-0.35%"
"Sep 11, 2015","8,470.46","8,605.10","8,614.30","8,458.40","64.11M","-1.56%"
"Sep 10, 2015","8,605.12","8,941.30","8,941.30","8,567.60","82.84M","-3.76%"
"Sep 09, 2015","8,941.25","8,801.00","8,941.30","8,794.40","105.66M","1.59%"
"Sep 08, 2015","8,800.98","8,581.10","8,860.50","8,578.50","92.59M","2.56%"
"Sep 07, 2015","8,581.13","8,694.40","8,710.40","8,448.10","51.87M","-1.30%"
"Sep 04, 2015","8,694.42","8,761.50","8,844.40","8,603.00","61.94M","-0.77%"
"Sep 03, 2015","8,761.48","8,883.90","9,107.00","8,747.30","63.47M","-1.38%"
"Sep 02, 2015","8,883.87","9,055.10","9,055.10","8,721.40","71.90M","-1.89%"
"Sep 01, 2015","9,055.07","9,269.20","9,535.00","9,044.10","92.46M","-2.31%"
"Aug 31, 2015","9,269.24","9,376.80","9,419.90","9,151.20","78.22M","-1.15%"
