"Date","Price","Open","High","Low","Vol.","Change %"
"May 10, 2022","6,521.50","6,592.60","6,592.60","6,480.10","53.02M","-0.77%"
"May 09, 2022","6,572.30","6,614.00","6,614.00","6,524.80","78.35M","-0.69%"
"May 06, 2022","6,618.20","6,748.50","6,748.50","6,575.50","87.36M","-1.93%"
"May 05, 2022","6,748.50","6,749.50","6,767.50","6,662.40","115.56M","-0.01%"
"May 04, 2022","6,749.50","6,705.90","6,781.70","6,705.90","95.15M","0.45%"
"May 03, 2022","6,719.20","6,727.60","6,727.60","6,667.80","61.70M","-0.12%"
"May 02, 2022","6,727.60","6,782.80","6,782.80","6,687.70","64.98M","-0.81%"
"Apr 29, 2022","6,782.80","6,701.20","6,782.80","6,701.20","107.83M","1.22%"
"Apr 28, 2022","6,701.20","6,651.70","6,701.20","6,651.70","110.21M","0.74%"
"Apr 27, 2022","6,651.70","6,761.00","6,761.00","6,632.30","112.55M","-1.62%"
"Apr 26, 2022","6,761.00","6,830.50","6,830.50","6,684.20","83.26M","-1.02%"
"Apr 22, 2022","6,830.50","6,946.00","6,946.00","6,818.50","81.10M","-1.66%"
"Apr 21, 2022","6,946.00","6,870.10","6,955.90","6,870.10","73.98M","1.10%"
"Apr 20, 2022","6,870.10","6,859.70","6,929.70","6,855.00","88.38M","0.15%"
"Apr 19, 2022","6,859.70","6,795.80","6,866.70","6,795.80","78.10M","0.94%"
"Apr 14, 2022","6,795.80","6,813.40","6,833.80","6,779.70","84.97M","-0.26%"
"Apr 13, 2022","6,813.40","6,799.50","6,817.00","6,780.70","75.47M","0.20%"
"Apr 12, 2022","6,799.50","6,815.40","6,822.70","6,768.20","70.15M","-0.23%"
"Apr 11, 2022","6,815.40","6,762.40","6,831.90","6,762.40","62.93M","0.78%"
"Apr 08, 2022","6,762.40","6,748.40","6,772.80","6,727.90","68.36M","0.21%"
"Apr 07, 2022","6,748.40","6,787.30","6,787.30","6,716.10","71.83M","-0.57%"
"Apr 06, 2022","6,787.30","6,740.40","6,793.40","6,701.50","87.57M","0.70%"
"Apr 05, 2022","6,740.40","6,714.40","6,778.70","6,714.40","66.28M","0.39%"
"Apr 04, 2022","6,714.40","6,732.20","6,757.40","6,714.40","74.68M","-0.26%"
"Apr 01, 2022","6,732.20","6,776.50","6,778.50","6,716.70","74.85M","-0.65%"
"Mar 31, 2022","6,776.50","6,844.40","6,849.70","6,776.50","93.57M","-0.99%"
