"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2015","19,823.64","19,953.70","20,054.90","19,823.60","12.40M","-0.65%"
"Dec 30, 2015","19,953.72","19,675.90","19,961.00","19,675.90","14.79M","1.41%"
"Dec 29, 2015","19,675.94","19,418.70","19,689.40","19,330.50","15.72M","0.76%"
"Dec 28, 2015","19,527.20","19,330.50","19,537.80","19,330.50","1.77M","0.56%"
"Dec 24, 2015","19,418.67","19,416.00","19,587.10","19,291.80","8.55M","0.01%"
"Dec 23, 2015","19,416.03","19,543.50","19,653.30","19,382.80","15.72M","-0.65%"
"Dec 22, 2015","19,543.52","19,366.50","19,707.00","19,366.50","29.20M","0.91%"
"Dec 21, 2015","19,366.45","19,536.80","19,537.10","19,245.40","26.89M","-0.22%"
"Dec 20, 2015","19,409.20","19,472.60","19,521.10","19,379.70","3.22M","-0.65%"
"Dec 18, 2015","19,536.83","19,531.00","19,592.00","19,403.40","48.64M","0.03%"
"Dec 17, 2015","19,530.98","19,027.30","19,553.20","19,027.30","65.90M","2.65%"
"Dec 16, 2015","19,027.30","19,056.70","19,092.60","18,753.90","52.18M","-0.15%"
"Dec 15, 2015","19,056.69","19,063.60","19,299.60","19,023.70","45.60M","-0.04%"
"Dec 14, 2015","19,063.59","19,176.80","19,208.00","19,039.60","31.45M","-0.19%"
"Dec 13, 2015","19,099.70","19,131.30","19,164.90","19,081.30","4.10M","-0.40%"
"Dec 11, 2015","19,176.83","19,114.60","19,384.40","19,077.80","35.08M","0.33%"
"Dec 10, 2015","19,114.57","19,176.10","19,178.40","18,962.70","36.18M","-0.32%"
"Dec 09, 2015","19,176.08","19,181.20","19,330.70","19,175.60","35.31M","-0.03%"
"Dec 08, 2015","19,181.17","19,152.10","19,315.40","19,080.30","47.23M","0.15%"
"Dec 07, 2015","19,152.09","19,183.10","19,453.50","19,087.90","39.36M","-1.22%"
"Dec 06, 2015","19,388.60","19,363.00","19,453.50","19,363.00","5.87M","1.07%"
"Dec 04, 2015","19,183.11","19,434.60","19,434.60","19,007.10","38.67M","-1.29%"
"Dec 03, 2015","19,434.56","19,701.60","19,701.60","19,404.70","40.52M","-1.36%"
"Dec 02, 2015","19,701.63","19,866.20","19,866.20","19,626.40","32.27M","-0.83%"
"Dec 01, 2015","19,866.24","19,722.90","19,937.80","19,696.20","29.73M","0.73%"
"Nov 30, 2015","19,722.88","19,632.00","19,783.20","19,632.00","85.62M","-0.20%"
"Nov 29, 2015","19,761.70","19,641.50","19,783.20","19,635.10","4.08M","0.66%"
"Nov 27, 2015","19,632.00","19,649.30","19,802.60","19,599.40","35.68M","-0.09%"
"Nov 26, 2015","19,649.29","19,430.00","19,737.10","19,401.70","27.83M","1.13%"
"Nov 25, 2015","19,429.96","19,482.20","19,528.80","19,417.30","47.63M","-0.27%"
"Nov 24, 2015","19,482.20","19,656.60","19,656.60","19,482.20","444.84M","-0.89%"
"Nov 23, 2015","19,656.60","19,510.20","19,734.20","19,508.60","30.87M","0.14%"
"Nov 22, 2015","19,628.90","19,523.10","19,631.60","19,522.50","5.59M","0.61%"
"Nov 20, 2015","19,510.23","19,585.80","19,587.70","19,413.80","35.12M","-0.39%"
"Nov 19, 2015","19,585.75","19,194.30","19,585.80","19,194.30","25.11M","2.04%"
"Nov 18, 2015","19,194.25","19,148.20","19,222.10","19,042.70","27.08M","0.24%"
"Nov 17, 2015","19,148.25","18,774.70","19,148.25","18,774.70","24.79M","1.99%"
"Nov 16, 2015","18,774.65","18,965.50","18,965.50","18,718.20","23.50M","0.22%"
"Nov 15, 2015","18,733.70","18,844.50","18,844.50","18,718.20","3.94M","-1.22%"
"Nov 13, 2015","18,965.53","19,147.70","19,147.70","18,847.30","32.27M","-0.95%"
"Nov 12, 2015","19,147.68","19,110.30","19,202.70","19,030.90","19.13M","0.20%"
"Nov 11, 2015","19,110.31","18,923.90","19,113.30","18,923.90","23.82M","0.98%"
"Nov 10, 2015","18,923.94","19,001.90","19,001.90","18,796.30","20.22M","-0.41%"
"Nov 09, 2015","19,001.92","19,001.00","19,130.40","18,924.50","17.44M","-0.48%"
"Nov 08, 2015","19,093.20","19,026.70","19,130.40","19,026.70","3.89M","0.49%"
"Nov 06, 2015","19,001.04","18,764.90","19,008.90","18,759.70","19.85M","1.26%"
"Nov 05, 2015","18,764.90","18,761.80","18,818.80","18,691.50","13.89M","0.02%"
