"Date","Price","Open","High","Low","Vol.","Change %"
"May 22","7,104.30","7,435.00","7,435.00","7,092.30","736.46M","-4.45%"
"Apr 22","7,435.00","7,482.70","7,624.80","7,233.30","748.50M","-0.63%"
"Mar 22","7,481.80","7,131.60","7,556.60","6,968.90","6.61B","6.14%"
"Feb 22","7,049.10","6,971.60","7,356.80","6,945.70","15.93B","1.11%"
"Jan 22","6,971.60","7,444.60","7,620.20","6,758.20","14.03B","-6.35%"
"Dec 21","7,444.60","7,256.00","7,520.60","7,168.90","11.90B","2.60%"
"Nov 21","7,256.00","7,323.70","7,479.10","7,180.30","13.54B","-0.92%"
"Oct 21","7,323.70","7,332.20","7,473.90","7,157.90","13.28B","-0.12%"
"Sep 21","7,332.20","7,534.90","7,539.00","7,145.70","16.50B","-2.69%"
"Aug 21","7,534.90","7,415.90","7,632.80","7,414.90","14.00B","1.92%"
"Jul 21","7,392.60","7,313.00","7,447.90","7,205.00","12.60B","1.09%"
"Jun 21","7,313.00","7,161.60","7,406.20","7,117.50","13.07B","2.11%"
"May 21","7,161.60","7,025.80","7,203.30","6,917.30","12.44B","1.93%"
"Apr 21","7,025.80","6,790.70","7,096.90","6,783.30","11.14B","3.46%"
"Mar 21","6,790.70","6,673.30","6,862.60","6,648.60","14.60B","1.76%"
"Feb 21","6,673.30","6,607.40","6,938.00","6,517.20","12.93B","1.00%"
"Jan 21","6,607.40","6,587.10","6,832.60","6,585.30","10.49B","0.31%"
"Dec 20","6,587.10","6,517.80","6,765.70","6,511.40","12.85B","1.06%"
"Nov 20","6,517.80","5,927.60","6,713.30","5,904.10","15.41B","9.96%"
"Oct 20","5,927.60","5,815.90","6,248.30","5,779.60","13.87B","1.92%"
"Sep 20","5,815.90","6,060.50","6,130.80","5,763.20","17.11B","-4.04%"
"Aug 20","6,060.50","5,927.80","6,199.20","5,860.70","16.30B","2.24%"
"Jul 20","5,927.80","5,897.90","6,160.60","5,892.80","15.30B","0.51%"
"Jun 20","5,897.90","5,755.70","6,198.60","5,705.40","22.21B","2.47%"
"May 20","5,755.70","5,522.40","5,922.00","5,169.60","19.85B","4.22%"
