"Date","Price","Open","High","Low","Vol.","Change %"
"May 10, 2022","6,382.70","6,452.90","6,452.90","6,319.80","17.41M","-0.84%"
"May 09, 2022","6,436.80","6,520.50","6,520.50","6,401.20","37.90M","-1.38%"
"May 06, 2022","6,527.20","6,671.00","6,671.00","6,504.70","34.73M","-2.16%"
"May 05, 2022","6,671.00","6,634.20","6,682.80","6,634.20","50.13M","0.47%"
"May 04, 2022","6,639.90","6,596.80","6,660.00","6,596.80","29.23M","0.65%"
"May 03, 2022","6,596.70","6,590.30","6,628.70","6,562.80","36.66M","0.10%"
"May 02, 2022","6,590.30","6,610.20","6,638.70","6,565.80","44.18M","-0.30%"
"Apr 29, 2022","6,610.20","6,543.10","6,624.20","6,543.10","58.25M","1.03%"
"Apr 28, 2022","6,543.10","6,485.30","6,545.60","6,485.30","34.61M","0.89%"
"Apr 27, 2022","6,485.30","6,514.70","6,514.70","6,436.60","52.12M","-0.64%"
"Apr 26, 2022","6,526.90","6,558.60","6,558.60","6,464.40","35.38M","-0.48%"
"Apr 22, 2022","6,558.60","6,573.60","6,594.50","6,543.90","55.98M","-0.23%"
"Apr 21, 2022","6,573.60","6,430.00","6,578.80","6,430.00","55.74M","2.23%"
"Apr 20, 2022","6,430.00","6,412.80","6,491.70","6,412.80","44.39M","0.27%"
"Apr 19, 2022","6,412.80","6,391.00","6,435.00","6,391.00","47.48M","0.34%"
"Apr 14, 2022","6,391.00","6,323.40","6,401.50","6,317.90","52.69M","1.07%"
"Apr 13, 2022","6,323.40","6,309.90","6,344.60","6,308.90","48.97M","0.21%"
"Apr 12, 2022","6,309.90","6,338.90","6,361.60","6,303.90","44.21M","-0.46%"
"Apr 11, 2022","6,338.90","6,341.60","6,370.90","6,326.40","36.88M","-0.04%"
"Apr 08, 2022","6,341.60","6,284.60","6,345.20","6,284.60","42.08M","0.91%"
"Apr 07, 2022","6,284.60","6,291.40","6,291.40","6,249.00","51.03M","-0.11%"
"Apr 06, 2022","6,291.40","6,327.30","6,327.30","6,242.90","45.08M","-0.57%"
"Apr 05, 2022","6,327.30","6,336.90","6,395.60","6,307.40","38.63M","-0.15%"
"Apr 04, 2022","6,336.90","6,349.60","6,373.10","6,336.90","35.18M","-0.20%"
"Apr 01, 2022","6,349.60","6,390.10","6,391.60","6,328.70","43.53M","-0.63%"
"Mar 31, 2022","6,390.10","6,379.50","6,421.10","6,341.60","86.16M","0.17%"
"Mar 30, 2022","6,379.50","6,296.30","6,397.50","6,292.30","57.16M","1.32%"
"Mar 29, 2022","6,296.30","6,277.50","6,360.10","6,277.50","54.12M","0.30%"
"Mar 28, 2022","6,277.50","6,294.40","6,316.30","6,259.80","35.98M","-0.27%"
"Mar 25, 2022","6,294.40","6,252.80","6,302.00","6,252.80","57.89M","0.67%"
"Mar 24, 2022","6,252.80","6,265.40","6,277.00","6,236.00","31.24M","-0.20%"
