"Date","Price","Open","High","Low","Vol.","Change %"
"May 10, 2022","1,482.70","1,498.60","1,498.60","1,421.30","23.46M","-0.80%"
"May 09, 2022","1,494.70","1,548.30","1,548.30","1,492.40","23.46M","-3.64%"
"May 06, 2022","1,551.20","1,620.70","1,620.70","1,541.30","25.02M","-4.29%"
"May 05, 2022","1,620.70","1,580.50","1,623.40","1,580.50","23.88M","2.54%"
"May 04, 2022","1,580.50","1,595.80","1,602.20","1,576.80","22.87M","-0.96%"
"May 03, 2022","1,595.80","1,581.60","1,616.80","1,581.60","20.08M","0.94%"
"May 02, 2022","1,581.00","1,647.00","1,647.00","1,570.00","17.60M","-4.01%"
"Apr 29, 2022","1,647.00","1,610.80","1,647.00","1,610.80","28.60M","2.25%"
"Apr 28, 2022","1,610.80","1,605.90","1,622.40","1,601.70","27.09M","0.31%"
"Apr 27, 2022","1,605.90","1,645.90","1,645.90","1,586.00","44.26M","-2.43%"
"Apr 26, 2022","1,645.90","1,675.10","1,675.10","1,642.70","55.10M","-1.74%"
"Apr 22, 2022","1,675.10","1,718.40","1,718.40","1,664.90","25.71M","-2.52%"
"Apr 21, 2022","1,718.40","1,764.70","1,768.10","1,711.20","22.23M","-2.62%"
"Apr 20, 2022","1,764.70","1,754.10","1,786.50","1,754.10","16.41M","0.60%"
"Apr 19, 2022","1,754.10","1,763.80","1,763.80","1,739.90","14.38M","-0.55%"
"Apr 14, 2022","1,763.80","1,742.10","1,764.40","1,741.80","16.91M","1.25%"
"Apr 13, 2022","1,742.10","1,742.70","1,753.30","1,736.30","21.30M","-0.03%"
"Apr 12, 2022","1,742.70","1,758.50","1,764.50","1,735.40","17.62M","-0.90%"
"Apr 11, 2022","1,758.50","1,773.50","1,773.50","1,742.20","17.60M","-0.85%"
"Apr 08, 2022","1,773.50","1,777.80","1,789.50","1,768.40","15.46M","-0.24%"
"Apr 07, 2022","1,777.80","1,840.70","1,840.70","1,776.60","21.72M","-3.42%"
"Apr 06, 2022","1,840.70","1,895.30","1,895.30","1,828.40","18.05M","-2.88%"
"Apr 05, 2022","1,895.30","1,838.30","1,909.10","1,838.30","18.21M","3.10%"
"Apr 04, 2022","1,838.30","1,820.90","1,838.30","1,810.60","14.98M","0.96%"
"Apr 01, 2022","1,820.90","1,837.50","1,837.50","1,812.70","14.07M","-0.90%"
"Mar 31, 2022","1,837.50","1,878.50","1,878.50","1,832.90","21.71M","-2.18%"
"Mar 30, 2022","1,878.50","1,809.10","1,880.00","1,809.10","23.65M","3.84%"
"Mar 29, 2022","1,809.10","1,751.50","1,816.40","1,751.50","16.38M","3.29%"
"Mar 28, 2022","1,751.50","1,799.50","1,801.80","1,751.50","15.29M","-2.67%"
"Mar 25, 2022","1,799.50","1,808.20","1,814.30","1,791.20","18.74M","-0.48%"
"Mar 24, 2022","1,808.20","1,822.10","1,822.10","1,781.00","16.30M","-0.76%"
"Mar 23, 2022","1,822.10","1,761.00","1,826.40","1,761.00","18.71M","3.47%"
"Mar 22, 2022","1,761.00","1,783.30","1,790.00","1,758.30","19.41M","-1.25%"
"Mar 21, 2022","1,783.30","1,740.50","1,808.50","1,740.50","20.92M","2.46%"
"Mar 18, 2022","1,740.50","1,712.50","1,741.50","1,706.50","51.07M","1.64%"
"Mar 17, 2022","1,712.50","1,653.80","1,750.10","1,653.80","32.06M","3.55%"
"Mar 16, 2022","1,653.80","1,601.20","1,660.20","1,601.20","21.42M","3.29%"
"Mar 15, 2022","1,601.20","1,623.60","1,623.60","1,594.50","17.43M","-1.38%"
"Mar 14, 2022","1,623.60","1,614.40","1,625.10","1,600.20","13.67M","0.57%"
"Mar 11, 2022","1,614.40","1,667.90","1,667.90","1,604.60","19.69M","-3.21%"
"Mar 10, 2022","1,667.90","1,614.70","1,687.40","1,614.70","21.73M","3.29%"
"Mar 09, 2022","1,614.70","1,564.80","1,619.60","1,563.80","22.03M","3.19%"
"Mar 08, 2022","1,564.80","1,566.90","1,576.40","1,541.70","25.15M","-0.13%"
"Mar 07, 2022","1,566.90","1,643.80","1,643.80","1,551.30","27.58M","-4.68%"
"Mar 04, 2022","1,643.80","1,704.90","1,704.90","1,621.20","23.97M","-3.58%"
"Mar 03, 2022","1,704.90","1,716.20","1,727.90","1,695.70","22.59M","-0.66%"
"Mar 02, 2022","1,716.20","1,715.80","1,716.30","1,685.10","29.33M","0.02%"
"Mar 01, 2022","1,715.80","1,623.90","1,716.40","1,623.90","29.85M","5.66%"
"Feb 28, 2022","1,623.90","1,633.40","1,638.30","1,605.40","40.60M","-0.58%"
"Feb 25, 2022","1,633.40","1,510.50","1,664.20","1,510.50","38.80M","8.14%"
"Feb 24, 2022","1,510.50","1,613.80","1,613.80","1,507.50","61.56M","-6.40%"
"Feb 23, 2022","1,613.80","1,579.60","1,613.80","1,579.30","39.72M","2.17%"
"Feb 22, 2022","1,579.60","1,631.90","1,631.90","1,564.20","46.37M","-3.20%"
"Feb 21, 2022","1,631.90","1,677.90","1,677.90","1,600.90","55.79M","-2.74%"
"Feb 18, 2022","1,677.90","1,710.80","1,710.80","1,667.30","24.97M","-1.92%"
"Feb 17, 2022","1,710.80","1,761.90","1,761.90","1,709.50","28.09M","-2.90%"
"Feb 16, 2022","1,761.90","1,740.50","1,778.40","1,740.50","34.01M","1.23%"
"Feb 15, 2022","1,740.50","1,723.80","1,754.50","1,718.70","20.83M","0.97%"
"Feb 14, 2022","1,723.80","1,730.10","1,730.10","1,705.00","24.88M","-0.36%"
"Feb 11, 2022","1,730.10","1,798.40","1,798.40","1,730.10","24.74M","-3.80%"
"Feb 10, 2022","1,798.40","1,752.60","1,832.40","1,752.60","28.28M","2.61%"
"Feb 09, 2022","1,752.60","1,681.90","1,755.40","1,681.90","29.44M","4.20%"
"Feb 08, 2022","1,681.90","1,709.60","1,711.70","1,670.90","23.24M","-1.62%"
"Feb 07, 2022","1,709.60","1,699.50","1,728.30","1,695.60","17.41M","0.60%"
"Feb 04, 2022","1,699.40","1,680.40","1,708.70","1,679.90","26.17M","1.13%"
"Feb 03, 2022","1,680.40","1,785.30","1,785.30","1,673.50","25.36M","-5.88%"
"Feb 02, 2022","1,785.30","1,785.90","1,799.00","1,777.50","19.01M","-0.03%"
"Feb 01, 2022","1,785.90","1,743.80","1,807.50","1,743.80","23.49M","2.41%"
"Jan 31, 2022","1,743.80","1,681.70","1,748.90","1,673.60","28.64M","3.69%"
"Jan 28, 2022","1,681.70","1,655.50","1,688.10","1,637.40","55.47M","1.58%"
"Jan 27, 2022","1,655.50","1,741.80","1,763.10","1,644.10","42.16M","-4.95%"
"Jan 25, 2022","1,741.80","1,799.90","1,803.10","1,730.50","34.84M","-3.23%"
"Jan 24, 2022","1,799.90","1,828.80","1,828.80","1,782.50","29.30M","-1.58%"
"Jan 21, 2022","1,828.80","1,871.70","1,871.70","1,825.40","39.25M","-2.29%"
"Jan 20, 2022","1,871.70","1,882.50","1,882.50","1,854.50","21.14M","-0.57%"
