"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2015","7,025.18","7,075.10","7,075.10","7,017.80","49.85M","-0.71%"
"Dec 30, 2015","7,075.11","7,064.20","7,104.70","7,028.20","73.65M","0.15%"
"Dec 29, 2015","7,064.18","7,075.50","7,075.50","6,958.30","61.38M","0.92%"
"Dec 28, 2015","7,000.00","7,005.50","7,007.90","6,958.30","10.72M","-1.07%"
"Dec 24, 2015","7,075.47","6,852.40","7,093.90","6,852.40","59.91M","3.26%"
"Dec 23, 2015","6,852.40","6,696.00","6,891.80","6,696.00","87.61M","2.34%"
"Dec 22, 2015","6,696.02","6,724.00","6,781.10","6,692.00","113.67M","-0.42%"
"Dec 21, 2015","6,723.96","6,686.70","6,732.70","6,623.30","115.72M","0.73%"
"Dec 20, 2015","6,674.90","6,652.50","6,712.60","6,649.80","20.56M","-0.18%"
"Dec 18, 2015","6,686.73","6,748.20","6,748.20","6,567.90","325.83M","-0.91%"
"Dec 17, 2015","6,748.24","6,681.10","6,812.70","6,678.60","196.11M","1.00%"
"Dec 16, 2015","6,681.14","6,476.00","6,692.90","6,476.00","178.55M","3.17%"
"Dec 15, 2015","6,475.99","6,539.80","6,539.80","6,460.00","150.65M","-0.98%"
"Dec 14, 2015","6,539.78","6,683.90","6,683.90","6,539.78","156.25M","-0.11%"
"Dec 13, 2015","6,547.20","6,586.10","6,586.10","6,544.40","27.57M","-2.05%"
"Dec 11, 2015","6,683.90","6,724.00","6,724.00","6,652.60","136.06M","-0.60%"
"Dec 10, 2015","6,723.95","6,679.00","6,780.80","6,671.40","146.55M","0.70%"
"Dec 09, 2015","6,677.47","6,670.10","6,738.00","6,565.90","167.66M","0.11%"
"Dec 08, 2015","6,670.11","6,907.40","6,907.40","6,659.90","165.06M","-3.44%"
"Dec 07, 2015","6,907.41","6,869.90","7,002.80","6,869.90","128.53M","-0.93%"
"Dec 06, 2015","6,972.40","6,945.40","7,002.80","6,945.40","28.69M","1.49%"
"Dec 04, 2015","6,869.91","6,965.50","6,965.50","6,840.00","129.77M","-1.37%"
"Dec 03, 2015","6,965.46","7,090.80","7,090.80","6,962.20","129.60M","-1.77%"
"Dec 02, 2015","7,090.83","7,106.80","7,140.00","7,077.70","110.44M","-0.22%"
"Dec 01, 2015","7,106.77","6,945.90","7,116.30","6,945.90","151.83M","2.32%"
"Nov 30, 2015","6,945.92","7,114.90","7,114.90","6,922.30","190.33M","-1.03%"
"Nov 29, 2015","7,018.40","7,054.20","7,054.20","6,981.10","16.22M","-1.36%"
"Nov 27, 2015","7,114.87","7,144.10","7,235.50","7,114.87","124.33M","-0.41%"
"Nov 26, 2015","7,144.05","7,235.00","7,235.10","7,139.90","125.11M","-1.26%"
"Nov 25, 2015","7,234.97","7,273.50","7,353.60","7,234.97","120.79M","-0.53%"
"Nov 24, 2015","7,273.52","7,409.90","7,409.90","7,273.50","148.98M","-1.84%"
"Nov 23, 2015","7,409.89","7,485.40","7,485.40","7,355.00","135.62M","0.39%"
"Nov 22, 2015","7,380.80","7,428.40","7,430.30","7,355.00","28.31M","-1.40%"
"Nov 20, 2015","7,485.45","7,469.40","7,597.80","7,431.10","118.70M","0.22%"
"Nov 19, 2015","7,469.38","7,306.90","7,469.40","7,306.90","153.08M","2.22%"
"Nov 18, 2015","7,306.94","7,414.40","7,414.40","7,257.50","139.43M","-1.45%"
"Nov 17, 2015","7,414.40","7,275.00","7,414.40","7,275.00","130.88M","1.92%"
"Nov 16, 2015","7,274.97","7,329.00","7,365.20","7,245.00","96.08M","-0.75%"
"Nov 15, 2015","7,329.60","7,270.70","7,330.10","7,245.00","20.23M","0.01%"
"Nov 13, 2015","7,329.02","7,489.70","7,489.70","7,245.20","148.98M","-2.14%"
"Nov 12, 2015","7,489.66","7,574.30","7,574.30","7,426.90","145.43M","-1.12%"
"Nov 11, 2015","7,574.33","7,654.80","7,654.80","7,548.00","136.60M","-1.05%"
"Nov 10, 2015","7,654.82","7,636.80","7,681.60","7,575.30","177.71M","0.24%"
"Nov 09, 2015","7,636.81","7,932.00","7,932.00","7,636.80","146.20M","-1.78%"
"Nov 08, 2015","7,775.20","7,916.70","7,916.70","7,738.40","32.43M","-1.98%"
"Nov 06, 2015","7,932.04","7,857.20","7,939.70","7,768.90","163.25M","-0.31%"
"Nov 05, 2015","7,956.51","8,032.50","8,036.90","7,925.20","98.37M","-0.95%"
"Nov 04, 2015","8,032.52","7,957.80","8,120.30","7,957.80","156.27M","0.94%"
"Nov 03, 2015","7,957.78","7,883.10","8,017.70","7,883.10","103.07M","0.95%"
"Nov 02, 2015","7,883.06","7,949.40","7,977.50","7,875.80","105.32M","-0.62%"
"Nov 01, 2015","7,932.20","7,956.50","7,977.50","7,927.10","16.81M","-0.22%"
"Oct 30, 2015","7,949.37","8,053.70","8,053.70","7,899.70","189.55M","-1.30%"
"Oct 29, 2015","8,053.74","8,178.80","8,241.70","8,043.50","127.00M","-1.53%"
"Oct 28, 2015","8,178.78","8,248.20","8,248.20","8,156.60","111.68M","-0.84%"
"Oct 27, 2015","8,248.23","8,349.70","8,349.70","8,221.90","143.47M","-1.21%"
"Oct 26, 2015","8,349.65","8,357.80","8,456.50","8,346.70","122.93M","-0.93%"
"Oct 25, 2015","8,428.40","8,402.00","8,456.50","8,402.00","29.01M","0.84%"
"Oct 23, 2015","8,357.81","8,202.80","8,383.00","8,202.80","159.49M","1.89%"
"Oct 22, 2015","8,202.75","8,232.80","8,232.80","8,123.00","118.51M","-0.37%"
"Oct 21, 2015","8,232.81","8,128.10","8,258.70","8,123.10","162.34M","1.29%"
"Oct 20, 2015","8,128.13","8,300.30","8,300.30","8,092.20","139.21M","-2.07%"
"Oct 19, 2015","8,300.34","8,389.50","8,389.50","8,273.40","130.98M","-0.10%"
"Oct 18, 2015","8,308.50","8,384.30","8,384.30","8,307.40","21.95M","-0.97%"
"Oct 16, 2015","8,389.54","8,404.30","8,448.40","8,356.50","141.07M","-0.18%"
"Oct 15, 2015","8,404.29","8,254.80","8,425.20","8,254.80","161.29M","1.81%"
