"Date","Price","Open","High","Low","Vol.","Change %"
"May 10, 2022","1,421.50","1,433.20","1,433.20","1,407.70","44.13M","-0.73%"
"May 09, 2022","1,432.00","1,495.40","1,495.40","1,431.00","77.84M","-4.26%"
"May 06, 2022","1,495.70","1,549.30","1,549.30","1,494.70","58.66M","-3.46%"
"May 05, 2022","1,549.30","1,523.30","1,549.30","1,523.30","70.13M","1.59%"
"May 04, 2022","1,525.00","1,546.00","1,551.30","1,523.60","54.55M","-1.36%"
"May 03, 2022","1,546.00","1,567.30","1,567.30","1,545.00","81.13M","-1.36%"
"May 02, 2022","1,567.30","1,628.60","1,628.60","1,567.30","68.56M","-3.76%"
"Apr 29, 2022","1,628.60","1,614.40","1,639.90","1,614.40","93.90M","0.89%"
"Apr 28, 2022","1,614.30","1,610.40","1,618.70","1,605.20","46.64M","0.24%"
"Apr 27, 2022","1,610.40","1,606.10","1,618.30","1,595.40","79.66M","0.27%"
"Apr 26, 2022","1,606.10","1,617.80","1,618.40","1,594.10","80.17M","-0.72%"
"Apr 22, 2022","1,617.80","1,629.80","1,629.90","1,614.10","70.88M","-0.74%"
"Apr 21, 2022","1,629.80","1,598.70","1,632.20","1,598.70","66.86M","1.95%"
"Apr 20, 2022","1,598.70","1,597.00","1,618.60","1,597.00","68.43M","0.11%"
"Apr 19, 2022","1,597.00","1,596.60","1,602.80","1,591.50","55.06M","0.03%"
"Apr 14, 2022","1,596.60","1,591.60","1,603.50","1,591.60","60.57M","0.31%"
"Apr 13, 2022","1,591.60","1,599.20","1,599.70","1,589.20","59.06M","-0.48%"
"Apr 12, 2022","1,599.20","1,612.80","1,621.80","1,599.20","60.92M","-0.84%"
"Apr 11, 2022","1,612.80","1,611.80","1,622.80","1,607.40","63.38M","0.06%"
"Apr 08, 2022","1,611.80","1,618.70","1,635.40","1,611.80","71.54M","-0.43%"
"Apr 07, 2022","1,618.70","1,615.40","1,630.10","1,611.70","66.74M","0.20%"
"Apr 06, 2022","1,615.40","1,626.20","1,626.20","1,612.20","79.36M","-0.66%"
"Apr 05, 2022","1,626.20","1,635.20","1,640.40","1,625.20","60.36M","-0.55%"
"Apr 04, 2022","1,635.20","1,622.50","1,638.10","1,621.40","58.65M","0.78%"
"Apr 01, 2022","1,622.50","1,619.30","1,628.50","1,615.50","70.19M","0.20%"
"Mar 31, 2022","1,619.30","1,629.90","1,641.70","1,618.80","138.28M","-0.65%"
"Mar 30, 2022","1,629.90","1,614.10","1,645.40","1,614.10","96.69M","0.98%"
"Mar 29, 2022","1,614.10","1,595.80","1,632.50","1,595.80","103.02M","1.15%"
"Mar 28, 2022","1,595.80","1,615.90","1,622.60","1,595.80","78.49M","-1.24%"
"Mar 25, 2022","1,615.90","1,600.90","1,621.10","1,600.90","73.59M","0.94%"
"Mar 24, 2022","1,600.90","1,605.00","1,607.40","1,595.50","72.12M","-0.26%"
"Mar 23, 2022","1,605.00","1,594.00","1,618.90","1,594.00","57.98M","0.69%"
"Mar 22, 2022","1,594.00","1,602.00","1,610.40","1,587.80","73.10M","-0.50%"
"Mar 21, 2022","1,602.00","1,603.70","1,614.80","1,601.10","53.79M","-0.11%"
"Mar 18, 2022","1,603.70","1,599.00","1,605.00","1,592.30","203.80M","0.29%"
"Mar 17, 2022","1,599.00","1,589.30","1,607.70","1,587.20","108.58M","0.61%"
"Mar 16, 2022","1,589.30","1,574.50","1,594.70","1,574.50","88.58M","0.94%"
"Mar 15, 2022","1,574.50","1,569.80","1,581.80","1,567.10","76.61M","0.30%"
"Mar 14, 2022","1,569.80","1,549.00","1,572.20","1,549.00","56.14M","1.34%"
"Mar 11, 2022","1,549.00","1,584.90","1,584.90","1,545.80","98.50M","-2.27%"
"Mar 10, 2022","1,584.90","1,546.20","1,589.80","1,546.20","87.81M","2.50%"
"Mar 09, 2022","1,546.20","1,529.00","1,548.50","1,521.50","80.45M","1.12%"
"Mar 08, 2022","1,529.00","1,531.60","1,547.50","1,527.20","86.78M","-0.17%"
"Mar 07, 2022","1,531.60","1,557.10","1,559.60","1,524.40","82.00M","-1.64%"
"Mar 04, 2022","1,557.10","1,573.50","1,574.50","1,545.70","87.30M","-1.04%"
"Mar 03, 2022","1,573.50","1,579.00","1,598.60","1,573.50","76.50M","-0.35%"
"Mar 02, 2022","1,579.00","1,597.30","1,597.30","1,562.80","98.56M","-1.15%"
"Mar 01, 2022","1,597.30","1,601.00","1,620.80","1,594.40","90.55M","-0.23%"
"Feb 28, 2022","1,601.00","1,585.20","1,605.80","1,580.50","105.39M","1.00%"
"Feb 25, 2022","1,585.20","1,561.50","1,594.20","1,561.50","88.43M","1.52%"
"Feb 24, 2022","1,561.50","1,590.40","1,590.40","1,556.60","129.73M","-1.82%"
"Feb 23, 2022","1,590.40","1,595.40","1,599.50","1,578.90","89.55M","-0.31%"
"Feb 22, 2022","1,595.40","1,626.00","1,626.00","1,587.10","73.97M","-1.88%"
"Feb 21, 2022","1,626.00","1,622.20","1,627.70","1,602.90","57.40M","0.23%"
"Feb 18, 2022","1,622.20","1,643.90","1,646.50","1,616.30","81.08M","-1.32%"
"Feb 17, 2022","1,643.90","1,635.50","1,671.00","1,635.50","101.44M","0.51%"
"Feb 16, 2022","1,635.50","1,585.80","1,638.00","1,585.80","104.27M","3.13%"
"Feb 15, 2022","1,585.80","1,571.60","1,591.30","1,549.80","80.84M","0.90%"
"Feb 14, 2022","1,571.60","1,574.30","1,579.20","1,562.30","77.92M","-0.17%"
"Feb 11, 2022","1,574.30","1,617.60","1,617.60","1,565.60","82.73M","-2.68%"
"Feb 10, 2022","1,617.60","1,617.60","1,634.20","1,612.30","81.18M","0.00%"
"Feb 09, 2022","1,617.60","1,598.60","1,618.00","1,587.90","87.43M","1.19%"
"Feb 08, 2022","1,598.60","1,584.20","1,605.00","1,573.20","84.77M","0.91%"
"Feb 07, 2022","1,584.20","1,606.30","1,606.30","1,569.50","62.04M","-1.38%"
"Feb 04, 2022","1,606.30","1,604.20","1,618.40","1,597.80","79.22M","0.13%"
"Feb 03, 2022","1,604.20","1,608.60","1,609.00","1,595.90","49.64M","-0.27%"
"Feb 02, 2022","1,608.60","1,598.80","1,617.30","1,598.20","64.44M","0.61%"
"Feb 01, 2022","1,598.80","1,587.50","1,605.30","1,580.00","78.06M","0.71%"
"Jan 31, 2022","1,587.50","1,565.20","1,602.10","1,556.60","88.64M","1.42%"
"Jan 28, 2022","1,565.20","1,529.10","1,568.70","1,527.70","232.35M","2.36%"
"Jan 27, 2022","1,529.10","1,572.70","1,584.50","1,512.20","139.39M","-2.77%"
"Jan 25, 2022","1,572.70","1,622.20","1,622.50","1,564.20","119.75M","-3.05%"
"Jan 24, 2022","1,622.20","1,599.10","1,629.30","1,588.60","71.86M","1.44%"
"Jan 21, 2022","1,599.10","1,623.30","1,623.30","1,593.60","75.99M","-1.49%"
"Jan 20, 2022","1,623.30","1,641.00","1,641.00","1,614.90","72.06M","-1.08%"
"Jan 19, 2022","1,641.00","1,646.70","1,654.50","1,634.20","87.81M","-0.35%"
"Jan 18, 2022","1,646.70","1,640.90","1,651.60","1,640.70","58.51M","0.35%"
"Jan 17, 2022","1,640.90","1,648.90","1,648.90","1,627.40","45.10M","-0.49%"
"Jan 14, 2022","1,648.90","1,663.60","1,665.90","1,647.30","69.62M","-0.88%"
"Jan 13, 2022","1,663.60","1,668.60","1,672.00","1,659.20","52.55M","-0.30%"
"Jan 12, 2022","1,668.60","1,669.40","1,678.50","1,667.00","66.96M","-0.05%"
"Jan 11, 2022","1,669.40","1,703.50","1,703.50","1,669.40","69.93M","-2.00%"
"Jan 10, 2022","1,703.50","1,715.00","1,715.00","1,695.60","40.07M","-0.67%"
"Jan 07, 2022","1,715.00","1,690.80","1,729.40","1,690.80","48.46M","1.43%"
"Jan 06, 2022","1,690.80","1,769.20","1,769.20","1,687.00","85.47M","-4.43%"
"Jan 05, 2022","1,769.20","1,789.70","1,796.60","1,767.80","59.75M","-1.15%"
"Jan 04, 2022","1,789.70","1,754.50","1,790.50","1,754.50","48.14M","2.01%"
"Dec 31, 2021","1,754.50","1,783.20","1,784.20","1,754.50","36.65M","-1.61%"
"Dec 30, 2021","1,783.20","1,781.80","1,783.20","1,760.40","67.19M","0.08%"
"Dec 29, 2021","1,781.80","1,749.60","1,783.90","1,749.60","59.07M","1.84%"
"Dec 24, 2021","1,749.60","1,739.10","1,754.20","1,739.10","18.32M","0.60%"
"Dec 23, 2021","1,739.10","1,728.40","1,747.40","1,728.40","49.70M","0.62%"
"Dec 22, 2021","1,728.40","1,746.40","1,746.40","1,719.90","68.23M","-1.03%"
"Dec 21, 2021","1,746.40","1,752.90","1,761.70","1,743.30","63.68M","-0.37%"
"Dec 20, 2021","1,752.90","1,750.70","1,757.80","1,738.80","73.15M","0.13%"
"Dec 17, 2021","1,750.70","1,748.20","1,764.70","1,740.30","180.79M","0.14%"
