"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2015","2,026.07","2,026.80","2,045.70","2,023.80","16.84M","-0.04%"
"Dec 30, 2015","2,026.84","2,000.20","2,026.84","1,999.20","20.29M","1.33%"
"Dec 29, 2015","2,000.18","1,974.40","2,000.20","1,964.50","17.53M","1.04%"
"Dec 28, 2015","1,979.60","1,974.40","1,981.20","1,964.50","2.06M","0.26%"
"Dec 24, 2015","1,974.40","1,962.50","1,982.90","1,962.30","6.84M","0.61%"
"Dec 23, 2015","1,962.49","1,965.50","1,983.10","1,962.49","13.44M","-0.16%"
"Dec 22, 2015","1,965.54","1,968.80","1,988.00","1,958.70","19.70M","-0.16%"
"Dec 21, 2015","1,968.76","1,984.60","1,987.00","1,962.10","17.27M","-0.49%"
"Dec 20, 2015","1,978.40","1,984.60","1,987.00","1,963.60","3.12M","-0.31%"
"Dec 18, 2015","1,984.64","1,972.60","1,992.90","1,954.90","41.32M","0.61%"
"Dec 17, 2015","1,972.56","1,934.20","1,991.40","1,934.20","48.29M","1.98%"
"Dec 16, 2015","1,934.18","1,898.50","1,934.20","1,898.50","30.48M","1.88%"
"Dec 15, 2015","1,898.47","1,878.20","1,905.90","1,878.20","24.07M","1.08%"
"Dec 14, 2015","1,878.16","1,890.50","1,907.40","1,868.70","31.18M","0.13%"
"Dec 13, 2015","1,875.70","1,890.50","1,890.50","1,868.70","6.15M","-0.78%"
"Dec 11, 2015","1,890.54","1,907.90","1,922.00","1,881.50","29.77M","-0.91%"
"Dec 10, 2015","1,907.89","1,929.30","1,929.40","1,889.50","34.60M","-1.11%"
"Dec 09, 2015","1,929.29","1,946.40","1,947.80","1,926.00","34.12M","-0.88%"
"Dec 08, 2015","1,946.43","1,934.60","1,970.10","1,919.90","34.61M","0.61%"
"Dec 07, 2015","1,934.64","1,965.60","1,982.80","1,927.60","36.32M","-1.12%"
"Dec 06, 2015","1,956.60","1,965.60","1,982.80","1,956.60","8.67M","-0.46%"
"Dec 04, 2015","1,965.56","2,000.30","2,000.30","1,956.10","34.67M","-1.74%"
"Dec 03, 2015","2,000.32","2,001.60","2,009.70","1,983.70","29.95M","-0.06%"
"Dec 02, 2015","2,001.56","1,991.50","2,006.90","1,963.80","29.74M","0.50%"
"Dec 01, 2015","1,991.52","1,944.30","1,996.20","1,943.70","37.45M","2.43%"
"Nov 30, 2015","1,944.35","1,958.60","1,960.20","1,943.90","28.84M","-0.73%"
"Nov 29, 2015","1,958.70","1,958.60","1,960.20","1,948.00","2.84M","0.00%"
