"Date","Price","Open","High","Low","Vol.","Change %"
"May 10, 2022","7,994.40","8,109.00","8,109.00","7,816.80","7.86M","-1.14%"
"May 09, 2022","8,086.90","8,223.30","8,223.30","8,064.80","7.91M","-1.71%"
"May 06, 2022","8,227.60","8,350.20","8,350.20","8,155.10","11.96M","-1.47%"
"May 05, 2022","8,350.20","8,207.20","8,364.70","8,207.20","11.10M","1.72%"
"May 04, 2022","8,208.90","8,180.10","8,297.70","8,164.30","10.60M","0.13%"
"May 03, 2022","8,197.90","8,222.20","8,237.80","8,119.60","11.12M","-0.24%"
"May 02, 2022","8,217.40","8,248.30","8,250.00","8,134.90","11.81M","-0.37%"
"Apr 29, 2022","8,248.30","8,148.90","8,264.00","8,148.90","16.02M","1.55%"
"Apr 28, 2022","8,122.70","8,088.10","8,137.60","8,043.80","9.21M","0.43%"
"Apr 27, 2022","8,088.10","8,043.70","8,088.10","7,959.10","13.28M","0.55%"
"Apr 26, 2022","8,043.70","8,142.40","8,142.40","7,958.00","12.54M","-1.21%"
"Apr 22, 2022","8,142.40","8,209.10","8,209.10","8,091.30","13.90M","-0.81%"
"Apr 21, 2022","8,209.10","8,078.00","8,265.50","8,078.00","13.82M","1.62%"
"Apr 20, 2022","8,078.00","8,032.00","8,082.30","7,955.90","20.83M","0.57%"
"Apr 19, 2022","8,032.00","7,954.60","8,060.40","7,954.60","8.76M","0.97%"
"Apr 14, 2022","7,954.60","7,869.50","8,005.10","7,869.50","8.92M","1.08%"
"Apr 13, 2022","7,869.50","7,831.00","7,890.00","7,782.00","10.57M","0.49%"
"Apr 12, 2022","7,831.00","7,834.00","7,841.30","7,695.80","12.64M","-0.04%"
"Apr 11, 2022","7,834.00","7,819.10","7,893.80","7,758.30","7.71M","0.19%"
"Apr 08, 2022","7,819.10","7,803.10","7,820.70","7,745.10","11.19M","0.21%"
"Apr 07, 2022","7,803.10","7,762.10","7,812.60","7,713.30","12.68M","0.53%"
