Date,Utilities,Telecommunication_Services,Industrials,Consumer_Discretionary,Consumer_Staple,Energy,Real Estate,Financials,Health_Care,Materials,Information_Technology
"Dec 31, 2015",6942.44,2026.07,4861.33,1995.41,8788.40,8009.88,1291.22,6296.10,19823.64,7025.18,809.50
"Dec 30, 2015",6927.01,2026.84,4858.99,2002.47,8870.64,8079.95,1313.87,6322.67,19953.72,7075.11,815.81
"Dec 29, 2015",6886.45,2000.18,4805.28,1985.36,8829.02,7969.35,1309.21,6249.31,19675.94,7064.18,808.49
"Dec 28, 2015",6817.50,1979.60,4765.90,1957.50,8736.80,7928.40,1291.00,6193.20,19527.20,7000.00,802.10
"Dec 24, 2015",6859.54,1974.40,4770.85,1948.82,8625.69,7963.86,1304.56,6164.66,19418.67,7075.47,797.60
"Dec 23, 2015",6773.48,1962.49,4776.44,1936.16,8500.05,7728.15,1296.95,6092.59,19416.03,6852.40,794.04
"Dec 22, 2015",6770.85,1965.54,4816.03,1936.05,8481.55,7614.22,1294.30,6060.36,19543.52,6696.02,792.69
"Dec 21, 2015",6734.85,1968.76,4764.20,1919.38,8467.80,7559.23,1290.93,6065.99,19366.45,6723.96,784.73
"Dec 20, 2015",6782.50,1978.40,4781.90,1926.40,8465.00,7511.80,1296.00,6055.10,19409.20,6674.90,788.50
"Dec 18, 2015",6781.26,1984.64,4778.28,1917.24,8433.85,7481.69,1299.50,6058.85,19536.83,6686.73,788.67
"Dec 17, 2015",6765.93,1972.56,4763.98,1899.51,8357.92,7520.10,1298.03,6051.54,19530.98,6748.24,798.17
"Dec 16, 2015",6614.42,1934.18,4709.77,1869.78,8256.16,7505.64,1299.17,5963.61,19027.30,6681.14,781.55
"Dec 15, 2015",6585.71,1898.47,4643.28,1827.94,7985.97,7257.70,1252.90,5802.43,19056.69,6475.99,782.70
"Dec 14, 2015",6593.21,1878.16,4643.59,1832.25,7976.91,7300.47,1251.08,5839.09,19063.59,6539.78,774.95
"Dec 13, 2015",6592.00,1875.70,4691.90,1838.20,8021.10,7306.50,1259.40,5872.60,19099.70,6547.20,774.40
"Dec 11, 2015",6696.35,1890.54,4718.79,1859.71,8119.62,7547.42,1267.44,5983.31,19176.83,6683.90,781.71
"Dec 10, 2015",6683.92,1907.89,4764.36,1864.83,8146.17,7591.47,1262.29,5975.55,19114.57,6723.95,778.79
"Dec 09, 2015",6738.86,1929.29,4770.56,1880.52,8197.30,7625.24,1279.09,6063.40,19176.08,6677.47,781.57
"Dec 08, 2015",6719.50,1946.43,4815.20,1892.65,8253.82,7598.50,1288.81,6110.78,19181.17,6670.11,783.88
"Dec 07, 2015",6760.80,1934.64,4782.36,1901.33,8298.63,8113.93,1276.06,6141.91,19152.09,6907.41,789.33
"Dec 06, 2015",6842.10,1956.60,4823.70,1921.00,8423.70,8384.20,1282.10,6204.60,19388.60,6972.40,792.60
"Dec 04, 2015",6713.18,1965.56,4779.66,1884.73,8321.10,8500.71,1262.03,6108.79,19183.11,6869.91,784.64
"Dec 03, 2015",6827.85,2000.32,4849.54,1907.69,8340.69,8559.94,1279.80,6216.40,19434.56,6965.46,792.37
"Dec 02, 2015",6827.31,2001.56,4872.21,1909.17,8401.46,8753.59,1279.90,6227.14,19701.63,7090.83,790.76
"Dec 01, 2015",6842.63,1991.52,4963.05,1916.52,8433.21,8787.63,1293.04,6211.82,19866.24,7106.77,788.80
"Nov 30, 2015",6803.12,1944.35,4921.92,1872.60,8205.18,8658.60,1261.12,6084.29,19722.88,6945.92,781.90
"Nov 29, 2015",6844.40,1958.70,4959.60,1884.20,8302.20,8643.70,1272.90,6137.50,19761.70,7018.40,783.80
"Nov 27, 2015",6859.46,1958.65,4964.68,1878.48,8245.06,8683.62,1270.13,6115.12,19632.00,7114.87,780.70
"Nov 26, 2015",6983.13,1960.96,4957.55,1874.79,8308.68,8590.15,1267.30,6122.55,19649.29,7144.05,787.85
"Nov 25, 2015",6944.42,1942.60,4916.63,1879.69,8362.91,8630.59,1271.55,6077.65,19429.96,7234.97,785.81
"Nov 24, 2015",7006.70,1963.55,4943.18,1890.07,8372.01,8550.91,1288.56,6132.34,19482.20,7273.52,783.96
"Nov 23, 2015",7050.48,1975.91,5004.61,1910.06,8476.56,8587.39,1290.86,6177.49,19656.60,7409.89,788.05
"Nov 22, 2015",7056.50,1965.80,4969.00,1908.50,8454.70,8572.60,1293.00,6147.90,19628.90,7380.80,788.60
"Nov 20, 2015",6994.04,1959.22,4979.15,1905.38,8314.11,8624.67,1282.82,6148.06,19510.23,7485.45,782.78
"Nov 19, 2015",7025.06,1963.86,4961.10,1910.37,8274.88,8720.97,1280.94,6113.69,19585.75,7469.38,772.68
"Nov 18, 2015",6932.04,1929.81,4874.38,1876.10,8054.53,8556.17,1259.34,5981.01,19194.25,7306.94,754.22
"Nov 17, 2015",6873.05,1915.03,4836.55,1863.29,8096.88,8525.83,1251.21,5940.89,19148.25,7414.40,747.76
"Nov 16, 2015",6679.92,1867.62,4733.56,1815.11,7961.95,8220.20,1218.76,5806.01,18774.65,7274.97,736.67
