Date,Utilities,Telecommunication_Services,Industrials,Consumer_Discretionary,Consumer_Staple,Energy,Real Estate,Financials,Health_Care,Materials,Information_Technology
12/31/2015,6942.44,2026.07,4861.33,1995.41,8788.4,8009.88,1291.22,6296.1,19823.64,7025.18,809.5
12/30/2015,6927.01,2026.84,4858.99,2002.47,8870.64,8079.95,1313.87,6322.67,19953.72,7075.11,815.81
12/29/2015,6886.45,2000.18,4805.28,1985.36,8829.02,7969.35,1309.21,6249.31,19675.94,7064.18,808.49
12/28/2015,6817.5,1979.6,4765.9,1957.5,8736.8,7928.4,1291,6193.2,19527.2,7000,802.1
12/24/2015,6859.54,1974.4,4770.85,1948.82,8625.69,7963.86,1304.56,6164.66,19418.67,7075.47,797.6
12/23/2015,6773.48,1962.49,4776.44,1936.16,8500.05,7728.15,1296.95,6092.59,19416.03,6852.4,794.04
12/22/2015,6770.85,1965.54,4816.03,1936.05,8481.55,7614.22,1294.3,6060.36,19543.52,6696.02,792.69
12/21/2015,6734.85,1968.76,4764.2,1919.38,8467.8,7559.23,1290.93,6065.99,19366.45,6723.96,784.73
12/20/2015,6782.5,1978.4,4781.9,1926.4,8465,7511.8,1296,6055.1,19409.2,6674.9,788.5
12/18/2015,6781.26,1984.64,4778.28,1917.24,8433.85,7481.69,1299.5,6058.85,19536.83,6686.73,788.67
12/17/2015,6765.93,1972.56,4763.98,1899.51,8357.92,7520.1,1298.03,6051.54,19530.98,6748.24,798.17
12/16/2015,6614.42,1934.18,4709.77,1869.78,8256.16,7505.64,1299.17,5963.61,19027.3,6681.14,781.55
12/15/2015,6585.71,1898.47,4643.28,1827.94,7985.97,7257.7,1252.9,5802.43,19056.69,6475.99,782.7
12/14/2015,6593.21,1878.16,4643.59,1832.25,7976.91,7300.47,1251.08,5839.09,19063.59,6539.78,774.95
12/13/2015,6592,1875.7,4691.9,1838.2,8021.1,7306.5,1259.4,5872.6,19099.7,6547.2,774.4
12/11/2015,6696.35,1890.54,4718.79,1859.71,8119.62,7547.42,1267.44,5983.31,19176.83,6683.9,781.71
12/10/2015,6683.92,1907.89,4764.36,1864.83,8146.17,7591.47,1262.29,5975.55,19114.57,6723.95,778.79
12/9/2015,6738.86,1929.29,4770.56,1880.52,8197.3,7625.24,1279.09,6063.4,19176.08,6677.47,781.57
12/8/2015,6719.5,1946.43,4815.2,1892.65,8253.82,7598.5,1288.81,6110.78,19181.17,6670.11,783.88
12/7/2015,6760.8,1934.64,4782.36,1901.33,8298.63,8113.93,1276.06,6141.91,19152.09,6907.41,789.33
12/6/2015,6842.1,1956.6,4823.7,1921,8423.7,8384.2,1282.1,6204.6,19388.6,6972.4,792.6
12/4/2015,6713.18,1965.56,4779.66,1884.73,8321.1,8500.71,1262.03,6108.79,19183.11,6869.91,784.64
12/3/2015,6827.85,2000.32,4849.54,1907.69,8340.69,8559.94,1279.8,6216.4,19434.56,6965.46,792.37
12/2/2015,6827.31,2001.56,4872.21,1909.17,8401.46,8753.59,1279.9,6227.14,19701.63,7090.83,790.76
12/1/2015,6842.63,1991.52,4963.05,1916.52,8433.21,8787.63,1293.04,6211.82,19866.24,7106.77,788.8
11/30/2015,6803.12,1944.35,4921.92,1872.6,8205.18,8658.6,1261.12,6084.29,19722.88,6945.92,781.9
11/29/2015,6844.4,1958.7,4959.6,1884.2,8302.2,8643.7,1272.9,6137.5,19761.7,7018.4,783.8
11/27/2015,6859.46,1958.65,4964.68,1878.48,8245.06,8683.62,1270.13,6115.12,19632,7114.87,780.7
11/26/2015,6983.13,1960.96,4957.55,1874.79,8308.68,8590.15,1267.3,6122.55,19649.29,7144.05,787.85
11/25/2015,6944.42,1942.6,4916.63,1879.69,8362.91,8630.59,1271.55,6077.65,19429.96,7234.97,785.81
11/24/2015,7006.7,1963.55,4943.18,1890.07,8372.01,8550.91,1288.56,6132.34,19482.2,7273.52,783.96
11/23/2015,7050.48,1975.91,5004.61,1910.06,8476.56,8587.39,1290.86,6177.49,19656.6,7409.89,788.05
11/22/2015,7056.5,1965.8,4969,1908.5,8454.7,8572.6,1293,6147.9,19628.9,7380.8,788.6
11/20/2015,6994.04,1959.22,4979.15,1905.38,8314.11,8624.67,1282.82,6148.06,19510.23,7485.45,782.78
11/19/2015,7025.06,1963.86,4961.1,1910.37,8274.88,8720.97,1280.94,6113.69,19585.75,7469.38,772.68
11/18/2015,6932.04,1929.81,4874.38,1876.1,8054.53,8556.17,1259.34,5981.01,19194.25,7306.94,754.22
11/17/2015,6873.05,1915.03,4836.55,1863.29,8096.88,8525.83,1251.21,5940.89,19148.25,7414.4,747.76
11/16/2015,6679.92,1867.62,4733.56,1815.11,7961.95,8220.2,1218.76,5806.01,18774.65,7274.97,736.67
11/15/2015,6667.7,1862.6,4742.6,1811,7986.8,8104.3,1226.8,5820,18733.7,7329.6,737
11/13/2015,6711.1,1861.77,4797.86,1828.94,8059.59,8090.59,1237.35,5881.93,18965.53,7329.02,742.23
11/12/2015,6762.42,1901.32,4839.02,1846.41,8253.23,8379.45,1245.06,5951.15,19147.68,7489.66,737.73
11/11/2015,6822.44,1919.5,4824.8,1841.65,8274.8,8658.12,1248.07,5904.21,19110.31,7574.33,718.32
11/10/2015,6763.36,1903.27,4792.02,1831.2,8212.17,8619.64,1242.66,5864.96,18923.94,7654.82,717.7
11/9/2015,6815.45,1898.97,4826.1,1847.16,8190.17,8614.1,1261.45,5902.81,19001.92,7636.81,732.28
11/8/2015,6882.7,1919.8,4877.1,1866.1,8260,8674.1,1275.9,5973,19093.2,7775.2,743.4
11/6/2015,6964.85,1929.31,4907.37,1866.98,8325.78,8836.56,1295.23,6000.3,19001.04,7932.04,742
11/5/2015,6892.9,1932.47,4847.07,1850.8,8248.89,8942.82,1285.32,5972.39,18764.9,7956.51,741.58
11/4/2015,6948.28,1934.77,4882.22,1874.19,8336.52,8945.6,1300.48,6048.58,18761.8,8032.52,742.53
11/3/2015,6978.93,1958.59,4884.19,1877.28,8289.39,8941.24,1292.15,6049.91,18805.73,7957.78,742.46
11/2/2015,6908.84,1923.54,4840.51,1848.37,8224.75,8716.43,1285.93,5957.09,18509.91,7883.06,726.92
11/1/2015,6952.5,1941.2,4879.1,1859.1,8303.5,8769.1,1291.8,6015.4,18662.4,7932.2,730.1
10/30/2015,6935.52,1954.74,4870.7,1863.69,8341.82,8759.15,1299.15,6073.13,18733.01,7949.37,731.37
10/29/2015,6911.2,1984,4809.24,1854.46,8495.06,8683.64,1299.22,6119.9,18554.98,8053.74,727.87
10/28/2015,6905.64,2012.38,4821.24,1878.49,8976.42,8795.45,1301.72,6178.99,18608.94,8178.78,728.83
10/27/2015,6839.44,1990.59,4803.41,1883.58,9023.8,8908.57,1298.63,6200.43,18376.52,8248.23,732.29
10/26/2015,6827.04,1987.09,4792.05,1874.39,8964.05,9118.15,1295.66,6191.74,18157.39,8349.65,734.17
10/25/2015,6849,1996.1,4810.9,1877.2,8980.2,9116.4,1294,6208.6,18214.6,8428.4,738
10/23/2015,6868.29,2008.8,4826.08,1875.39,8980.09,9136.34,1288.25,6180.17,18130.53,8357.81,734.87
10/22/2015,6726.87,1976.51,4751.66,1833.32,8765.37,9053.22,1266.58,6079.25,18070.93,8202.75,719.11
10/21/2015,6648.67,1969.73,4777.45,1851.35,8767.26,8780.86,1254.2,6050.68,17974.81,8232.81,721.29
10/20/2015,6645.71,1964.19,4791.51,1844.83,8725.11,8678.51,1261.86,6049.48,18096.74,8128.13,721.64
10/19/2015,6666.66,1914.98,4777.03,1858.29,8738.03,8970.42,1260.06,6096.65,17936.24,8300.34,723.63
10/18/2015,6666.6,1951,4785.5,1858.1,8770.1,8886.2,1260.1,6109,17952.2,8308.5,725.2
10/16/2015,6715.69,1961.62,4788.05,1858.15,8723.37,8926.66,1264.22,6055.47,17961.36,8389.54,725.9
10/15/2015,6630.19,1959.81,4750.19,1840.63,8682.15,8845.6,1239.12,5991.01,17851.62,8404.29,725.87
10/14/2015,6625.77,1975.27,4770.15,1820.87,8633.56,8699.76,1228.41,5953.46,17883.23,8254.76,729.11
10/13/2015,6642.2,1988.6,4758.33,1804.47,8690.84,8992.66,1232.85,5943.81,17740.08,8289.19,725.17
10/12/2015,6672.23,2007.13,4723.95,1823.06,8618.42,9247.91,1237.68,5966.44,17669.96,8462.96,724.96
10/11/2015,6700.4,2011,4736.3,1831.1,8631.7,9230.5,1238.5,5967.7,17797,8465.1,728.2
10/9/2015,6790.46,2026.01,4749.69,1845.17,8675.52,9465.52,1251.2,6015.83,17978.34,8492.55,731.35
10/8/2015,6687.07,2011.1,4693.26,1831.38,8570.59,9256.43,1247.51,5945.28,17891.57,8298.82,720.63
10/7/2015,6708.17,2030.21,4738.3,1837.32,8590.42,9142.51,1260.17,5933.93,17793.94,8163.23,732.5
10/6/2015,6626.12,2042.6,4771.81,1835.12,8573.77,8565.97,1263.83,5919.07,17808.66,8032.19,734.53
10/5/2015,6646.4,2054.47,4786.27,1832.69,8547.31,8498.66,1265.87,5890.65,17829.45,7965.22,741.71
10/4/2015,6634.3,2043.2,4782.6,1824.1,8551.9,8489,1263,5895.1,17884,7956.9,741.5
10/2/2015,6502.01,2016.78,4694.53,1793.05,8408.2,8260.41,1242.84,5805.78,17522.53,7697.8,727.23
10/1/2015,6633.14,2051.39,4726.89,1797.4,8464.77,8313.49,1260.18,5892.09,17794.38,7753.41,730.95
9/30/2015,6482.92,2013.65,4635.77,1765.87,8310.09,8108.62,1237.82,5787.19,17652.79,7611.57,727.15
9/29/2015,6489.89,1964.64,4593.52,1741.85,8119.23,8041.83,1212.42,5644.53,17410.88,7435.7,717.02
9/28/2015,6683.78,2056.76,4747.14,1786.26,8372.94,8617.03,1247.74,5853.86,18039.97,7828.75,732.27
9/25/2015,6549.16,2030.52,4669.75,1755.63,8289.2,8428.45,1231.76,5764.98,18027.32,7734.96,713.05
9/24/2015,6558.5,2048.94,4692.53,1739.81,8248.35,8600.8,1233.81,5828.02,18074.7,7704.43,717.17
9/23/2015,6433.16,2011.87,4610.06,1714.39,8074.91,8498.45,1199.75,5742.81,17773.22,7651.79,710.59
9/22/2015,6505.69,2025.58,4635.53,1739.83,8227.67,8687.5,1219.21,5887.81,17977.76,7890.76,716.06
9/21/2015,6408.09,1992.99,4564.06,1731.55,8129.76,8458.83,1208.3,5855.55,17866.63,7910.25,710.82
9/18/2015,6506.05,2020.93,4633.53,1768.45,8248.53,8665.73,1224.62,5992.51,17988.72,8114.43,718.62
9/17/2015,6462.35,1999.19,4578.39,1754.21,8235.59,8802.46,1221.41,5957.3,17930.44,8110.27,714.01
9/16/2015,6423.01,1993.45,4549.93,1739.05,8181.36,8575.4,1208.47,5906.99,17934.79,7969.16,704.39
9/15/2015,6341.53,1957.33,4493.75,1725,8164.04,8356.08,1207.49,5795.15,17713.29,7854.56,696.5
9/14/2015,6408.49,1977.96,4547.23,1743.79,8220.86,8441.08,1224.21,5904.2,17944.66,7996.15,702.92
9/11/2015,6342.01,1981.59,4523.68,1734.98,8196.51,8470.46,1215.64,5864.88,17781.84,7972.93,701.34
9/10/2015,6357.75,2005.39,4527.44,1741.2,8221.33,8605.12,1222.96,5883.98,17977.24,8008.97,700
9/9/2015,6527.85,2067.12,4597.81,1781.07,8372.94,8941.25,1251.79,6044.34,18318.75,8181.54,703.35
9/8/2015,6554.03,2026.53,4552.92,1753.82,8321.33,8800.98,1239.34,5861.33,18211.62,8074.33,695.21
9/7/2015,6404.3,1996.37,4530.22,1730.45,8257.8,8581.13,1222.33,5738.05,18171.79,7932.5,691.15
9/4/2015,6431.61,1995.49,4520.62,1723.09,8284.21,8694.42,1210.27,5746.07,18140.02,7987.74,686.42
9/3/2015,6337.62,1974.35,4491.15,1712.09,8255.82,8761.48,1208.74,5756.92,18040.84,7914.53,675.72
9/2/2015,6453.69,2008.27,4551.96,1768.12,8286.91,8883.87,1223.82,5847.53,18288.49,8005.15,676.33
9/1/2015,6550.53,2012.94,4534.49,1773.12,8341.18,9055.07,1222.56,5822.85,18145.28,8001.56,673.88
8/31/2015,6699.84,2054.24,4570.76,1805.87,8530.54,9269.24,1241.47,5969.17,18498.7,8151.79,690.51
8/28/2015,6727.59,2070.39,4577.29,1818.3,8747.55,9376.8,1246.22,6048.36,18596.98,8207.03,694.91
8/27/2015,6705.41,2095.63,4590.74,1812.52,8654.27,9044.52,1250.57,6058.73,18634.79,7914.74,702.9
8/26/2015,6518.12,2079.34,4548.72,1786.03,8524.82,8903.92,1231.88,5993.82,18119.56,7892.77,686.14
8/25/2015,6510.7,2069.09,4546.95,1783.27,8467.25,8660.52,1239.59,5958.86,18172.57,7776.3,673.46
8/24/2015,6406.13,2086.03,4442.69,1749.23,8302,8606,1200.17,5737.61,17804.83,7592.51,664.84
8/21/2015,6516.37,2150.85,4591.11,1812.87,8544.82,9169.87,1236.42,6014.64,18220,7958.7,697.65
8/20/2015,6637.76,2169.61,4625.76,1843.94,8567.25,9223.63,1260.15,6137.77,18560.05,7992.56,700.02
